old_text,translation
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","""Quella guerra ben fatta, l'opera perché etc. E dall'altra parte, Aiace era uno cavaliere franco e prode all'arme, di gran lunga, ma non era pieno di grande saggezza."""
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","crudele, e di tutte le colpe si prende vendetta, come dice la legge, e a nessuno cavaliere si perdona che pecchi."
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non ebbe altra forza d'animo che Ponzio Aufidiano, cavaliere romano."
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeo per cavaliere e non per compagno, non riterrò più i fati."
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'arte di questa professione sembra essere quella di fare credere di essere appostato, per poi far credere di farlo per dire."
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Ecco e ventipiove larghi caggiano delle nebbie, e potresti credere che tutto il cielo cadesse nel mare."
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Ma chi si aspetta che quelli che ancora non credono in Cristo, vedano con noi, e perché non possono negare, si scontrano con i denti."
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,Le vendite dei morti e le pressioni dei vivi fecero la frode di un feroce re.
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","""Perché lui, che ora è feroce e onorevole per le sue grandi virtù, è tormentato e afflitto dalla sua impietà verso il mio padre."""
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso restano fermi nella bugia e incontrano la verità.
"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, uno dei dieci compagni, si riservò di parlare alla fine."
cose ch'io sapeva che erano fatte in Italia.,cose che so che sono italiane.
Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio, nipote di Ortensio, ha vissuto una vita più bassa e più sleale."
"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","""Un amante, chiamando la sua donna, le dice molte parole e ragioni, e lei si difende."""
"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","""Ricordo di essere furioso e di averla sbattuta. Oh, quanti giorni questa rabbia mi ha tolto!"""
colui del quale tu tti solevi dolere ch' era amante della tua donna;,"""quelli che ti facevano soffrire, che era amante della tua donna."""
"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sapevano ancora i nomi delle persone coinvolte nella congiura, perché la donna non li aveva ancora nominati."
"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Creti? Certo quando si muoveva, diceva: ""O fedele mia donna, fai che in mio posto ti sia raccomandato il nostro ospite troiano""."
"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano fu ripresa la malvagità di una donna in simile bugia, nel tempo stesso di questo signore della repubblica, in questo modo:"
"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.",Si lamentano dell'ingiustizia di Appio e rimproverano la malvagità della bellezza della fanciulla e la necessità del padre.
"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","Nella quale battaglia, certo, ho sempre avuto coraggio di ragionare di pace e sempre mi è dispiaciuto che la pace non fosse stata rispettata."
"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","A volte la seconda suole per la grande prudenza fare timoroso, e la prima per l'ardire rendere altrui pazzo."
Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andò nel campo dei cartaginesi e tutta la legione si mise in fuga.
"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","Non voleva conoscerlo per male. Questa è quella che diede coraggio al profeta Natan a riprendere con grande autorità quel re, il quale aveva peccato."
"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","con le armi e insieme con loro si muovevano tra i nemici, perché se qualcuno non avesse avuto coraggio di questo e sì avesse questo animo."
Unde ragionevolemente Iob è interpretato dolente;,Perché Iob è interpretato come dolente.
"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","""Chi perdonerebbe più di tutti gli altri ai cittadini e a cui potreste più facilmente credere; poi ch'egli fu vostro comandante."""
"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","Invano si domanda chi abbia scritto questo libro, e si debba credere che l'autore fosse lo Spirito Santo."
"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse usatissima, sarebbe molto più incredibile."
che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,che prendessero la paga dal camerlingo per loro dispensa e immanente andassero alla presenza del Papa per contraddire il passaggio dei cavalieri che venivano da Cecilia in Toscana
"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Teseo guardò Achelao con stupore e disse: ""O messer Achelao, per favore, dimmi come hai perso""."
"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Spero che Messer Gesù mandino presto a voi Timoteo, così che io possa essere di animo buono."
sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,senza fallo lo porco salvatico avanza l'uomo d' udire e il lupo cerviere del vedere
uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,Una cosa si manda lanciare; i cavalieri la chiamano capo di porco.
tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,"""Metti le reti a caccia e sa bene dove si nascondono i cinghiali furiosi."""
"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ora spaventerai i cervi con varie paure, o lo porco cenghiare caggia in terra passato collo spiedo."
"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","tratta la natura delle cose immateriali che non conversano all'interno delle loro corporazioni, come Dio e le cose divine."
"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, che decide e giudica tutto."
"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Quando i poeti parlano di sé, raccontano le loro virtù e i loro difetti, quando qualcuno si occupa di loro."
"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","e quella cosa, che è diretta, onesta e virtuosa, penso sia l'unico bene."
"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando i serpenti invellevano di giorno qualcuno Romano, allora era la meraviglia vedere come i Psille si combattevano al veleno, ché li immolavano tutto in azzi della loro saliva."
"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Il poeta dice: oh, che bella cosa è vedere apertamente con gli occhi quando tu fai diretro o in culo o in altro."
"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","ma pur questo, è colpa tua, perché volevi vedere con gli occhi fisici ciò che è invisibile."
"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","È vero, ma non posso rispondere adesso, perché tu sei il mio servo, o perché è tempo fermato, o perché non devo rispondere."
sì convene che lli desse grande avere perché · lasciasse andare via.,"Sì, accetto di darti un grande potere perché ti lascio andare."
"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","Un esempio significativo per chi si guardasse di fare e di pensare alla trasgressione, il servo, accusato, fu sfigurato e fuggì con una grande quantità di denaro."
che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,"che sarebbe a lui cosa sconcia se avesse commesso, che la colpa del servo e il gastigamento di Platone avessero meritato ugualmente."
"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","Mostra al massimo le sue forze, donandogli il potere in questa città, dove nacque servo; a cui è spettato un lungo regno."
l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,l'anima si adatta alla forza del corpo che la accompagna.
"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","Sono due, già non in una carne, ma in uno spirito, cioè Iddio e l'anima."
"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","""Per questo Lucano disse: vi raccontiamo. Qui, quando l'anima di Pompeo ebbe sentito la chiarezza di lassù, ella sì cognosce prima in grande."""
"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","Quindi il dolore è sentito quando si usa l'arma e la fatica si rifiutano, con grande disonore come un gregge."
et nonn ebbe in fastido Cristo cotali parole d'udire.,e lui non ebbe più la forza di ascoltare le parole di Cristo.
"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","La folla che hai potuto vedere e riguardare lo studio e poco in lontananza udire le voci, e le cui mani e lance posso ritenere solo."
"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","ascoltare storie belle e respirare fiori belli, quando e quanto è opportuno."
"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò in un giardino dietro il suo albergo, quasi come se stesse pensando alla risposta."
"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io sono dispiaciuto lì dove non posso andare con il corpo, con la mente vi volo."
Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,E subito tutta la folla degli uccelli si alzò in volo dietro all'aquila.
Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,Capisce anche le ragioni del volo degli uccelli e può fare un giudizio vero.
Or ecco quanto per la sua superbia questo uccello volava in alto.,Ecco perché quell'uccello si è fatto avanti così tanto.
"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","Gorgone, e ho questa proprietà che volo nell'aria come un ucello."
"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","""Quando nella matricola si scrivono giuramento per Dio, e per Cristo, e per lo Spirito Santo"""
"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","""per necessità, il ridicolo che secondo il tuo comando, Padre Santo Agostino, le battaglie siano già state nel mondo [..]"""
"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","""Molti saranno più ricordati per aver fatto il re, perché il nostro paese è sempre stato santo e glorioso il nome reale, e se furono compagni, il loro nome sarà santo."""
"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio che tu, per un santo proposito, e che vedendo le sue laudi, ti lasci sopraffare dalla sua bellezza."
"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","Santo Agostino scrisse un libro intitolato ""Agostino della Città di Dio""."
Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,Gregorio. Non l'ho mai sentito dire che avesse maestro; ma il dono dello Spirito Santo non si può limitare da regole.
Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,"""Mercatanti fiorentini si recavano in nave per andare a fare affari."""
"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando avrai nel cavaliere i segni visti non andare a grandezza caendo, perché nelle battaglie sono più utili i forti che i grandi."
"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","e, soprattutto, essere catturato o fuggire e lasciare che il suo popolo vinca."
"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Sapete veramente che se non ci fossimo affrettati a fuggire, tutti saremmo morti."
"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Tarco, un cretense, avrebbe potuto scappare, ma la vergogna di abbandonare i nobili cavalieri della gente achea poco avanti da lui."
"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","e l'acconciamento a fare grandi cose, cioè a mantenere la pace e amare il prossimo, a fare città, castelli e mansioni."
colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,chi non ama il prossimo come se stesso già teme i giudizi di Dio.
"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L'uccello, poi che ha impiantate le ali, non fugge saldamente, né il porco salvato esce bene dalle reti dove cade."
"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","Mi sono aperto, e loro sono fuggiti. E che bisogno c'è, che il tuo cuore sia chiuso al tuo sposo Cristo?"
"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","E dunque, dato che queste cose sono così, Catellina, e tu non puoi vivere qui, dubiti tu di andare altrove e di vivere fuggendo in campagna."
"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due, volendo sfuggire al senato, morirono per la plebe, incitandola i padri coscritti."
"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","I giovani, destinati a difendere le province e a partecipare alla battaglia."
"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Da monti dei Romani si fecero nuovi nemici; contro i quali fu combattuto con diversa ventura: perché nella prima battaglia, essendo consolato Valerio, morì di Romani."
"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","""Noi, esiliati e disperso per debito della città, e tutti esiliati per fama e fortuna buona."""
pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,"Pregate i vostri dei per me, le vostre preghiere valgono: e se voi domandate chi ebbe ventura di questa battaglia, io non fui vinto da lui."
"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","Una villa chiamata Vitermina, a cui pensavano i principi scherani di quel tempo di vederla, Scipione, stimando che venissero per isforzarlo, allogò in quella casa."
contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,"Contro di lui e contro le sue sorelle, contro il regno e contro l'alto pregio della sua origine e della sua famiglia."
"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Allora il navio si è impannato e si è alzato in mare per andare diritto per mezzo di questo pericoloso passaggio, l'aria è diventata nuvolosa e piovosa."
"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","si arrampicò sul bordo del fossato e sul rilievo, se da lontano si potessero difendere, o per qualche modo passare oltre e scappare."
"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","Ma l'occhio dell'intelligenza è più alto. Perciò che, passata la grandezza dell'università, quella medesima forma vede nella sottil vista."
"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","Se l'occhio è nobile membro del corpo dell'uomo, la salutazione è nobile parte della pistola, così l'allumina tutta la lettera come l'occhio allumina l'uomo."
"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","Tarentini, nati da quei di Lacedemonia e da una nobile città dei Greci."
"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.","Ulecois, era un uomo ricco e nobile: l'Orgentore fu chiamato per nome."
"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Tuttavia, se è nobile e alta la cosa, il male non è meno laudabile sapere avere misericordia."
"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alexandri, è il genero e il figlio, di Phausonia, giovane di Macedonia, rimasto in un luogo stretto senza guardia, fu ucciso."
"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Qualcuno è ricco e gentile, ma si lamenta che vorrebbe avere un'altra moglie di quella che ha."
"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, vedendo la gente gentile, fu detto: uccidi e mangia."
"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Chiese di essere liberato da quella obbligazione, che aveva lasciato in lui un obbligo."
"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro verrà dall'Aquilone. Che figuriamo noi dell'Aquilone, se non il popolo gentile congelato dal freddo del peccato, il quale popolo tenne sotto il giogo della sua tirannia."
"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Tra di noi non puoi più stare, non lo sopporterò e non lo lascerò."
